ip,city,state,lat,lon
173.76.196.24,Randolph,Massachusetts,42.1696,-71.0606
50.107.66.185,Laingsburg,Michigan,42.8776,-84.3822
64.121.102.112,Bethlehem,Pennsylvania,40.5902,-75.3547
73.167.142.24,Peabody,Massachusetts,42.5324,-70.9736
73.166.225.134,Houston,Texas,29.8327,-95.6627
108.87.185.151,Miami,Florida,25.6032,-80.3347
67.246.117.190,Fulton,New York,43.348,-76.3422
52.144.44.101,Wilmington,Delaware,39.5645,-75.597
73.14.39.123,Fort Collins,Colorado,40.524,-105.1396
71.63.196.113,Salem,Oregon,44.9016,-122.9223
68.227.247.172,Phoenix,Arizona,33.5091,-112.0824
107.3.68.20,Salem,Massachusetts,42.5153,-70.9075
65.120.86.154,Church Rock,New Mexico,35.5339,-108.5998
74.240.148.69,New Orleans,Louisiana,29.9536,-90.1029
76.111.239.26,West Palm Beach,Florida,26.6386,-80.2512
67.186.29.207,Greensburg,Pennsylvania,40.3356,-79.5507
50.134.89.165,Richmond,Virginia,37.4535,-77.478
24.146.196.6,Brooklyn,New York,40.5833,-73.924
68.60.139.63,Flint,Michigan,43.0565,-83.7483
67.186.29.207,Greensburg,Pennsylvania,40.3356,-79.5507
67.186.29.207,Greensburg,Pennsylvania,40.3356,-79.5507
73.69.103.247,Chelsea,Massachusetts,42.3997,-71.0316
73.132.141.120,Bel Air,Maryland,39.5382,-76.3519
75.27.6.179,Indianapolis,Indiana,39.7876,-85.9719
67.142.113.238,,Missouri,38.5783,-90.6666
70.32.38.68,Dallas,Texas,32.7825,-96.8207
66.75.23.122,Barstow,California,34.9701,-116.9929
72.204.3.217,Fayetteville,Arkansas,36.1189,-93.984
76.171.182.195,Downey,California,33.9231,-118.1396
98.144.82.238,Milwaukee,Wisconsin,43.0491,-88.0026
98.176.238.152,Chula Vista,California,32.6361,-117.0532
71.198.186.252,Berkeley,California,37.9073,-122.282
72.64.251.177,Brandon,Florida,27.9003,-82.3024
146.115.168.153,Waltham,Massachusetts,42.3699,-71.2353
74.211.23.246,Saint George,Utah,37.0645,-113.5746
73.192.27.97,Jacksonville,Florida,30.3533,-81.499
74.109.209.173,Canonsburg,Pennsylvania,40.2713,-80.1702
173.90.170.181,North Ridgeville,Ohio,41.3853,-82.0195
99.109.98.84,Euless,Texas,32.8592,-97.0819
71.173.2.248,Tobyhanna,Pennsylvania,41.188,-75.3804
98.203.66.223,Hollywood,Florida,26.0222,-80.1496
73.108.21.153,Knoxville,Tennessee,35.9043,-83.8407
162.227.192.249,Pflugerville,Texas,30.4416,-97.5986
67.197.117.123,Fort Mill,South Carolina,35.0121,-80.8821
108.4.73.98,Richmond,Virginia,37.5577,-77.3769
173.91.112.47,Cleveland,Ohio,41.5159,-81.6815
67.85.42.18,Brooklyn,New York,40.5975,-73.9979
98.116.237.127,Bayside,New York,40.7637,-73.7725
